transaction_date,merchant,amount,category,transaction_type,status,bonus_value
2025-06-02,Продавец 39,318.61,Категория 2,Списание,Выполнен,0.0
2025-06-02,Продавец 39,224.23,Категория 2,Пополнение,Выполнен,6.9
2025-06-03,Продавец 30,143.78,Категория 2,Списание,Выполнен,4.33
2025-06-06,Продавец 30,96.93,Категория 4,Пополнение,Выполнен,2.14
2025-06-06,Продавец 32,205.58,Категория 2,Списание,Выполнен,6.7
2025-06-08,Продавец 7,109.83,Категория 1,Пополнение,Выполнен,2.87
2025-06-08,Продавец 8,35.47,Категория 1,Списание,Выполнен,1.5
2025-06-08,Продавец 30,634.67,Категория 3,Пополнение,в обработке,17.07
2025-06-09,Продавец 37,212.1,Категория 1,Списание,Выполнен,6.67
2025-06-09,Продавец 5,224.94,Категория 2,Списание,Выполнен,0.0
2025-06-10,Продавец 9,117.61,Категория 1,Списание,Выполнен,0.0
2025-06-10,Продавец 28,48.85,Категория 3,Пополнение,Выполнен,2.42
2025-06-10,Продавец 23,455.82,Категория 5,Списание,Выполнен,21.46
2025-06-10,Продавец 25,223.1,Категория 2,Списание,Выполнен,8.47
2025-06-12,Продавец 30,60.94,Категория 1,Списание,Выполнен,2.76
2025-06-13,Продавец 32,1215.37,Категория 5,Списание,Выполнен,0.0
2025-06-15,Продавец 15,281.97,Категория 22,Пополнение,Выполнен,6.69
2025-06-16,Продавец 5,330.32,Категория 1,Списание,Выполнен,11.04
2025-06-16,Продавец 7,59.61,Категория 1,Списание,в обработке,0.0
2025-06-18,Продавец 1,532.14,Категория 14,Списание,Выполнен,21.48
2025-06-19,Продавец 23,533.28,Категория 4,Списание,Выполнен,0.0
2025-06-20,Продавец 33,225.4,Категория 1,Списание,Выполнен,7.68
2025-06-20,Продавец 16,184.4,Категория 3,Списание,Выполнен,5.78
2025-06-23,Продавец 5,2140.08,Категория 4,Пополнение,в обработке,0.0
2025-06-24,Продавец 18,487.65,Категория 3,Списание,Выполнен,17.89
2025-06-24,Продавец 6,364.66,Категория 4,Списание,Выполнен,10.79
2025-06-25,Продавец 5,155.55,Категория 2,Списание,Выполнен,0.0
2025-06-26,Продавец 26,493.96,Категория 24,Списание,в обработке,19.23
2025-06-27,Продавец 12,582.66,Категория 4,Пополнение,Выполнен,24.69
2025-07-01,Продавец 39,236.39,Категория 4,Пополнение,Выполнен,0.0
2025-07-01,Продавец 26,450.11,Категория 2,Списание,Выполнен,19.88
2025-07-02,Продавец 11,178.36,Категория 4,Списание,Выполнен,6.52
